"swapped_region","n_swaps","mean_abs_change","median_abs_change","max_abs_change"
"Kristiansand",380,8.9743237811548e-06,5.69833363766442e-06,4.59247627869306e-05
"Valdres",380,6.59916508523049e-07,3.86897749190233e-07,5.30142061572083e-06
"Trondheim",380,5.19103377332636e-07,2.3589003780829e-07,4.97346900560788e-06
"Kirkenes",380,4.73296156415139e-07,1.97583800124886e-07,6.07792569500126e-06
"Bodo",380,3.45645570169606e-07,2.67177634542867e-07,2.24324921044044e-06
"Setesdal",380,3.22844315594629e-07,1.14553969728835e-07,3.17099238711879e-06
"Bergen",380,3.20385265592282e-07,2.08834438481819e-07,2.6658656920659e-06
"Skorovatn",380,2.83181911066846e-07,1.63827631207086e-07,1.43639964480059e-06
"Lakselv",380,2.51638041487143e-07,1.92113624518122e-07,1.48755887750093e-06
"Tromso",380,2.27599442650458e-07,1.93871118407822e-07,9.12700055080915e-07
"Svolvar",380,1.23611373625229e-07,1.029810958409e-07,5.4139113489491e-07
"Oslo",380,6.89569007342337e-08,5.65840156722508e-08,2.59724900809774e-07
