"swapped_region","n_swaps","mean_abs_change","median_abs_change","max_abs_change"
"Skorovatn",380,2.24583524836109e-05,1.89377539036056e-05,6.24684273998993e-05
"Kirkenes",380,9.62207884562903e-06,2.94419422033038e-06,6.11240644564118e-05
"Lakselv",380,3.09359135254099e-06,2.35261887085959e-06,1.40308548799929e-05
"Tromso",380,2.02339606004156e-06,1.37130899235462e-06,1.50591400431681e-05
"Bodo",380,7.37102913623949e-07,4.91246114156218e-07,5.60233065569845e-06
"Setesdal",380,7.08389123406466e-07,5.0339438742136e-07,3.14935012320923e-06
"Kristiansand",380,6.67124484044142e-07,3.49451474698586e-07,4.0900368047349e-06
"Bergen",380,6.56079700938822e-07,5.3567506798556e-07,2.84501375738909e-06
"Trondheim",380,6.3285752233291e-07,4.061945285442e-07,3.0738226597266e-06
"Svolvar",380,5.9552405265331e-07,3.52461498969842e-07,3.81859449263937e-06
"Valdres",380,5.00477230000196e-07,3.58286112480688e-07,1.97381549721787e-06
"Oslo",380,1.36471472517228e-07,1.13383310128781e-07,6.13320173927385e-07
