"swapped_region","n_swaps","mean_abs_change","median_abs_change","max_abs_change"
"Setesdal",342,5.47124588663546e-06,4.16201481976596e-06,1.83997070571081e-05
"Lakselv",342,2.2560914006749e-06,1.27669422028792e-06,1.4008138219423e-05
"Kristiansand",342,1.18015088988163e-06,9.90831546838195e-07,4.51505311974453e-06
"Skorovatn",342,8.92881301337159e-07,4.43028934693959e-07,6.52147009417687e-06
"Trondheim",342,8.24819726071964e-07,5.01693286069908e-07,5.10964499899467e-06
"Bodo",342,5.72064326769687e-07,4.40818935325958e-07,2.4888786855985e-06
"Valdres",342,4.70248852264745e-07,3.89155614860484e-07,1.92616396642069e-06
"Tromso",342,3.91018195817093e-07,3.31291640657043e-07,1.4018179511478e-06
"Bergen",342,3.69189388342199e-07,2.93076373089785e-07,1.44158016039358e-06
"Svolvar",342,2.8625226031774e-07,2.00762067634151e-07,2.14789484751226e-06
"Kirkenes",342,2.58895761073667e-07,1.90369573281523e-07,1.04883772097607e-06
"Oslo",342,2.15698137566009e-07,1.14188406212074e-07,1.36548483167099e-06
