"x","y","location"
-640492.951858974,6375688.79692904,"extension buffer"
-547928.191610256,6195943.14594185,"extension buffer"
-427778.216551264,6044537.70837692,"extension buffer"
-270233.910864102,5927662.61700079,"extension buffer"
-85104.3903666665,5865739.59400389,"extension buffer"
100025.130130769,5845320.66687895,"extension buffer"
192589.890379487,5856099.59180747,"extension buffer"
562848.931374359,5982741.63989008,"extension buffer"
665796.376503687,6044537.70837692,"extension buffer"
772300.880920996,6144465.70546154,"extension buffer"
840543.212120513,6244956.81147381,"extension buffer"
920189.184003731,6444249.69671538,"extension buffer"
1028560.93820995,6843961.68505385,"extension buffer"
1079126.02316495,6943889.68213846,"extension buffer"
1210802.25311538,7100991.20224607,"extension buffer"
1488496.53386154,7296888.55611294,"extension buffer"
1664612.4654247,7543457.66464615,"extension buffer"
1719392.32682506,7743313.65881538,"extension buffer"
1720891.32141793,7843241.6559,"extension buffer"
1682175.94999608,8043097.65006923,"extension buffer"
1581061.29411026,8253099.75688976,"extension buffer"
1488496.53386154,8351431.61072867,"extension buffer"
1303367.0133641,8464501.02306824,"extension buffer"
1118237.49286667,8521056.86853492,"extension buffer"
933107.972369231,8542114.21917785,"extension buffer"
747978.451871795,8518118.23705254,"extension buffer"
562848.931374359,8451649.18822382,"extension buffer"
252646.751425657,8242953.64423846,"extension buffer"
7460.36988205137,8015976.47062194,"extension buffer"
-122100.617463205,7843241.6559,"extension buffer"
-283289.290533368,7543457.66464615,"extension buffer"
-526401.792589874,7243673.67339231,"extension buffer"
-582609.06332539,7143745.67630769,"extension buffer"
-654888.902223785,6943889.68213846,"extension buffer"
-687919.570952542,6644105.69088462,"extension buffer"
-685567.29588083,6544177.6938,"extension buffer"
-164598.1467,6543567.00303875,"extension buffer"
-123315.437733333,6459505.75477302,"extension buffer"
-67097.2960924338,6391051.56910769,"extension buffer"
-40750.0198,6372063.80289664,"extension buffer"
41815.3981333333,6348761.01418787,"extension buffer"
83098.1071,6345185.50617277,"extension buffer"
124380.816066667,6356367.91331983,"extension buffer"
206946.234,6406850.24878926,"extension buffer"
289511.651933333,6428861.1750019,"extension buffer"
